Sol 1.988544e30 6.955e8 1.476346940316969E+08 -3.407513895873969E+08 -1.392356222336995E+07 1.049591695983597E-05  4.0324428150893963 -2.431389186153114E-01
Mercury 3.302e23 2.440e6 1.805852832680460E+10 -6.530526643790466E+10 -6.965277303166512E+09 3.720566883318558E+04  1.543463942254890E+04 -2.152095747620236E+03
Venus 4.8685e24 6.0518e6  -7.314605522521269E+09  1.070113300870015E+11  1.887742865095623E+09 -3.504542077245820E+04 -2.613012720450335E+03  1.987049871934142E+03
Earth 5.97219e24 6.371e6 -2.612041631491084E+10  1.444031738354951E+11 -1.871044819188750E+07 -2.979757010794374E+04 -5.427819993111533E+03 -6.478170267973512E-01
TheMoon 7.349e22 1.737e6 -2.609810226891924E+10  1.440471869435858E+11  8.098681428719581E+06 -2.870188871325058E+04 -5.335093943386681E+03  4.868087754086230e+1
Mars 6.4185e23 3.3899e6 -2.261099835319214E+11  1.039013519028102E+11  7.723886565298021E+09 -9.219787740056502E+03 -1.993289261516897E+04 -1.914060417671636e2
Jupiter 1.8981e27 7.1492e7  -1.989368912673058E+11  7.504499816559181E+11  1.322799715484018E+09 -1.278830725947872E+04 -2.728651562304699E+03  2.975034323005663E+02
Saturn 5.68319e26 6.02687  -1.029862258059438E+12 -1.058817119105485E+12  5.939663672095723E+10 6.398199879178748E+03 -6.759810367535342E+03 -1.370853258844064E+02
Uranus  8.68103e25 2.5559e7  2.938999462489388E+12  5.864718134348706E+11 -3.589770718011265E+10 -1.382423040821736E+03  6.360909471940466E+03  4.155692382817161E+01
Neptune 1.0241e26 2.4766e7  4.048781948908461E+12 -1.928935258894988E+12 -5.358551868220922E+10 2.301618085735603E+03  4.939084941252415E+03 -1.547544462349838E+02
